Repository	Lock-Commit	Lock-Period	Lock-Time	First-Commit-Time	Lock-Committed-After
apollolink	fbfa9a85351177b0f42d3edbb3ce166534782e3b	Jan||2019	2019-01-23 11:45:18	2017-06-07 15:00:18	True
vue	c371fbde9c1251bc225dddd682b32621a31f2548	Sep||2017	2017-09-01 12:27:53	2016-04-10 22:47:28	True
web3	7193c4465a0394ef5cfcc5984aab74ab26ced815	Jul||2018	2018-07-31 14:54:16	2014-09-30 22:51:53	True
bluebird	f541801c11fea2e66a50bef1d6a3c5323c314413	Oct||2018	2018-10-27 04:26:09	2013-09-02 16:31:08	True
helmet	146594fa67e1ab958fe5d405c9b497aae7341ff7	Jul||2017	2017-07-21 11:14:20	2012-02-01 16:00:29	True
jsdoc	7b304d80427c7888a9c6ce558c75a59200c714a9	Jan||2019	2019-01-12 14:32:17	2010-03-13 09:21:05	True
mysql2	79fefdff5a5cd68c55e3baed73837e197b27872f	Aug||2017	2017-08-16 08:32:32	2013-04-17 15:22:45	True
ejs	968cb9d5cbae45d6b5e24731cf807f0a81275cdb	Apr||2020	2020-04-19 14:00:47	2010-03-13 23:15:45	True
socketioclient	3add3e1b8265259fea2862fd89e3d58a8c90b732	Nov||2020	2020-11-05 22:27:32	2010-03-15 19:40:48	True
socketio	8a69f154371cdff1af04b617831d944babef6ddb	Nov||2020	2020-11-05 22:25:35	2011-05-05 08:49:40	True
yeomangenerator	68d59c1d0092b7134d8de26bac435a655d09dd4e	Sep||2017	2017-09-11 23:28:45	2012-07-23 06:07:32	True
inversify	15a158c36094b6d32e67b2e3b44123fd0173d2eb	Aug||2019	2019-08-06 13:44:10	2015-04-07 22:04:38	True
nodegit	a72afed361fae375aaca46934b54a052965f85ca	Feb||2018	2018-02-26 13:37:14	2011-01-15 18:55:46	True
discordjs	dea48d64a575ece7d1603169ba419e9ec30ba425	Aug||2020	2020-08-14 21:46:23	2015-08-10 14:36:26	True
serialport	63f803f56b8e388a0cc4af0f09a067d8a3fa0d98	Nov||2020	2020-11-02 23:44:53	2010-09-07 08:26:29	True
webpackdevmiddleware	e9407b76e43351872e64ab9d0ed0633d10455e98	Dec||2017	2017-12-13 15:24:03	2012-08-08 22:19:26	True
lodash	eaa9f36e912a97bfc95f6bdd28ea07e0a62b82e9	Aug||2018	2018-08-31 16:22:41	2009-10-25 14:36:12	True
i18next	1477e38323dd70e0429697d650aff6041ed65f4e	Jun||2019	2019-06-03 12:02:28	2011-12-16 13:36:12	True
rxjs	1a09dab7e0a3f8f173dacbe547a79e5fbdba054e	Jan||2018	2018-01-30 16:41:13	2015-03-14 23:10:17	True
typeorm	4505c44916862d0eb1d2fcab27ca56316f279f7d	Feb||2021	2021-02-26 01:12:44	2016-02-21 11:38:43	True
reduxform	cda25729573807a9b32ffb6276207f6a291b85dc	May||2017	2017-05-04 22:03:50	2015-07-31 18:07:43	True
tsjest	fa6f60f64c5bebd3d9b372104217319bdfac719e	Aug||2018	2018-08-08 22:10:59	2016-08-30 19:17:18	True
preact	1e4e4e8634639f002fc48a7a75c030126d249789	Jan||2020	2020-01-16 22:14:07	2015-09-10 22:43:47	True
mocha	5fbbce999284f137332ab359be11117d265b6cb1	Dec||2017	2017-12-09 21:41:29	2011-08-28 20:13:34	True
nock	c3c199393701f5648e283ae9c9b5189de964e413	Jan||2019	2019-01-02 17:00:22	2011-09-22 11:38:06	True
webpackdevserver	e8cbdadd4e7632c1bbf4e6b683d485d254887d45	Sep||2017	2017-09-13 15:16:33	2012-09-17 12:56:20	True
recast	af1e89d27c3b09c25c5c4e1e7483fc75fbefeee4	Oct||2017	2017-10-10 12:31:26	2012-09-21 18:28:10	True
github	ed90210590434f3040a4c5dbf00b9f21ba3016b1	Nov||2018	2018-11-11 18:34:15	2010-06-09 16:32:26	True
reactintl	bf6fe316a01c42221872fe7b381257723413d8dd	Mar||2021	2021-03-17 15:31:21	2014-04-30 17:30:20	True
browsersync	dd70eba92b61f99bf9d67a6fcd825ee1d6e91964	Jun||2018	2018-06-09 11:39:20	2013-10-03 21:51:51	True
graphql	6cbb494b192df903f267a52770a9f597b057c258	May||2020	2020-05-14 22:08:03	2015-06-30 17:31:01	True
karma	6c5add2449a5a0ef33e1907f6711309a13e429d1	Aug||2019	2019-08-13 16:54:41	2011-10-12 00:59:30	True
mongodb	49406dfadb7264a949244cb4e1ee2566ba9ab02d	Aug||2018	2018-08-25 12:19:15	2010-01-07 13:53:14	True
sequelize	06106ba4ad8cb40402ee585fcf5822e06e3f9443	Dec||2019	2019-12-12 10:09:21	2010-07-22 21:25:24	True
esm	b08fa92a9eae437b87b1fd67302163e404d92311	Jun||2018	2018-06-16 21:15:54	2016-05-03 17:17:35	True
mathjs	fb8a4e0a0e78972d0dbe2c543784a52411d1bb8e	Jun||2017	2017-06-05 11:53:15	2013-02-15 11:46:01	True
rollup	b9c9e4babdab9f87b214733799713dc05806ad0d	Jul||2017	2017-07-09 18:44:51	2015-05-14 18:25:51	True
stylelint	3d4172bf077c5bda901857df07bf165919cfb0c8	Oct||2019	2019-10-13 13:53:29	2014-12-11 08:20:05	True
bootstrap	a83a0181f9242f459a6cf6a0847439a191966d8b	Jul||2017	2017-07-16 05:00:15	2011-04-27 13:53:51	True
reactapollo	ed75b71f3f166a0921d89dc89dfaa7b0d908dde3	Feb||2018	2018-02-26 11:33:51	2016-04-13 16:28:12	True
apolloclient	7947c985a81477d8b22e6f91cf7d84cedf219aca	Aug||2018	2018-08-15 07:51:19	2016-02-26 12:25:00	True
npm	af71102dd6173226bce79e7ef6d66a63843fdf23	May||2017	2017-05-02 12:47:03	2009-09-29 10:21:33	True
