Repository	Tag	No. Of. Duplicates
unzip	v0.1.7	0
unzip	v0.1.6	0
convertsourcemap	v1.8.0	26
convertsourcemap	v1.7.0	26
convertsourcemap	v1.6.0	26
convertsourcemap	v1.5.1	26
convertsourcemap	v1.5.0	26
tv4	v1.2.7	18
tv4	v1.2.6	18
tv4	v1.2.5	18
tv4	v1.2.3	18
tv4	v1.2.2	18
concatstream	v2.0.0	0
concatstream	v1.6.2	0
concatstream	v1.6.1	0
concatstream	v1.3.2	0
concatstream	v1.4.11	0
admzip	v0.5.6	8
admzip	v0.5.5	8
admzip	v0.5.4	8
admzip	v0.5.3	8
admzip	v0.5.2	8
base64js	v1.5.1	7
base64js	v1.5.0	6
base64js	v1.4.0	5
base64js	v1.3.1	5
base64js	v1.3.0	8
httpstatus	v1.5.0	6
httpstatus	v1.4.2	0
httpstatus	v1.4.1	0
httpstatus	v1.4.0	0
httpstatus	v1.3.2	0
clitable	v0.3.6	0
clitable	v0.3.5	0
clitable	v0.3.4	0
clitable	v0.3.3	0
clitable	v0.1.0	0
gulpconcat	v2.6.1	58
gulpconcat	v2.6.0	54
gulpconcat	v2.5.2	54
gulpconcat	v2.5.1	54
gulpconcat	v2.5.0	54
basicauth	v2.0.1	2
basicauth	v2.0.0	3
basicauth	v1.1.0	56
basicauth	v1.0.4	0
basicauth	v1.0.3	0
slugify	v1.6.0	23
slugify	v1.5.3	23
slugify	v1.5.2	23
slugify	v1.5.1	23
slugify	v1.5.0	23
nodestatic	v0.1.1	2
nodestatic	v0.1.0	2
nodestatic	v0.7.9	0
nodestatic	v0.7.8	0
nodestatic	v0.7.7	0
extractzip	v2.0.1	132
extractzip	v2.0.0	149
extractzip	v1.7.0	25
extractzip	v1.6.8	25
extractzip	v1.6.7	25
fastclick	v1.0.6	0
fastclick	v1.0.5	0
fastclick	v1.0.4	0
fastclick	v1.0.3	0
fastclick	v1.0.2	0
optimist	0.6.1	0
optimist	0.6.0	0
optimist	0.5.2	0
optimist	0.5.1	0
optimist	0.5.0	0
jsonfile	6.1.0	20
jsonfile	6.0.1	4
jsonfile	6.0.0	4
jsonfile	5.0.0	4
jsonfile	4.0.0	2
which	v2.0.2	63
which	v2.0.1	63
which	v2.0.0	63
which	v1.3.1	63
which	v1.3.0	63
watch	v1.0.2	0
watch	v1.0.1	0
watch	v1.0.0	0
watch	v0.19.3	0
watch	v0.19.2	0
webpacksources	v3.2.0	77
webpacksources	v3.1.2	77
webpacksources	v3.1.1	77
webpacksources	v3.1.0	77
webpacksources	v3.0.4	77
gaze	v1.1.3	58
gaze	v1.1.2	45
gaze	v1.1.1	45
gaze	v1.1.0	45
gaze	v1.0.0	55
xml2json	v0.11.2	0
xml2json	v0.11.0	0
xml2json	v0.9.2	0
xml2json	v0.9.0	0
xml2json	v0.8.2	0
dateformat	v4.5.1	36
dateformat	v4.5.0	36
dateformat	v4.4.2	36
dateformat	v4.4.1	36
dateformat	v4.4.0	36
portfinder	v1.0.28	0
portfinder	v1.0.27	0
portfinder	v1.0.26	0
portfinder	v1.0.25	0
portfinder	v1.0.24	0
parseurl	1.3.3	13
parseurl	1.3.2	7
parseurl	1.3.1	0
parseurl	1.3.0	0
parseurl	1.2.0	0
he	v1.2.0	8
he	v1.1.1	7
he	v1.1.0	7
he	v1.0.0	7
he	v0.5.0	8
gruntcontribcopy	v1.0.0	51
gruntcontribcopy	v0.8.2	46
gruntcontribcopy	v0.8.1	46
gruntcontribcopy	v0.8.0	47
gruntcontribcopy	v0.7.0	47
hoistnonreactstatics	v3.3.2	28
hoistnonreactstatics	v3.3.1	28
hoistnonreactstatics	v3.3.0	28
hoistnonreactstatics	v3.2.1	28
hoistnonreactstatics	v3.2.0	28
argparse	2.0.1	32
argparse	2.0.0	31
argparse	1.0.10	18
argparse	1.0.9	17
argparse	1.0.8	17
fresh	v0.5.2	3
fresh	v0.5.1	3
fresh	v0.5.0	0
fresh	v0.4.0	0
fresh	v0.3.0	0
passport	v0.4.1	0
passport	v0.4.0	0
passport	v0.3.2	0
passport	v0.3.1	0
passport	v0.3.0	0
pluralize	v8.0.0	8
pluralize	v7.0.0	8
pluralize	v6.0.0	8
pluralize	v5.1.0	8
pluralize	v5.0.0	8
memoizeone	v5.2.1	436
memoizeone	v5.2.0	436
memoizeone	v5.1.1	436
memoizeone	v5.1.0	436
memoizeone	v5.1.0-beta.6	436
co	4.6.0	5
co	4.5.4	5
co	4.5.3	5
co	4.5.2	2
co	4.5.1	2
amqplib	v0.8.0	0
amqplib	v0.7.1	0
amqplib	v0.7.0	0
amqplib	v0.6.0	0
amqplib	v0.5.6	0
gulpbabel	v8.0.0	41
gulpbabel	v8.0.0-beta.2	41
gulpbabel	v8.0.0-beta.1	41
gulpbabel	v6.1.3	41
gulpbabel	v7.0.1	41
gulpplumber	v1.2.1	90
gulpplumber	v1.2.0	90
gulpplumber	v1.1.0	90
gulpplumber	v1.0.2	90
gulpplumber	v1.0.1	90
babelpluginaddmoduleexports	v1.0.0	105
babelpluginaddmoduleexports	v0.3.3	105
babelpluginaddmoduleexports	v0.3.2	105
babelpluginaddmoduleexports	v0.3.1	105
babelpluginaddmoduleexports	v0.3.0	105
tslintreact	5.0.0	0
tslintreact	4.2.0	0
tslintreact	4.1.0	0
tslintreact	4.0.0	0
tslintreact	3.6.0	0
nodewatch	0.7.1	0
nodewatch	0.7.0	0
nodewatch	0.6.4	0
nodewatch	v0.6.3	0
nodewatch	v0.6.2	0
etag	v1.8.1	3
etag	v1.8.0	52
etag	v1.7.0	0
etag	v1.6.0	0
etag	v1.5.1	0
promise	8.1.0	11
promise	8.0.3	11
promise	8.0.2	11
promise	8.0.1	11
promise	8.0.0	11
changecase	camel-case@4.1.2	185
changecase	capital-case@1.0.4	185
changecase	change-case@4.1.2	185
changecase	constant-case@3.0.4	185
changecase	dot-case@3.0.4	185
traverse	0.6.6	0
traverse	0.6.5	0
traverse	0.6.4	0
traverse	0.6.3	0
traverse	0.6.2	0
css	v3.0.0	8
css	v2.2.4	8
css	v2.2.3	8
css	v2.2.2	8
css	v2.2.1	8
tweetnacl	1.0.3	5
tweetnacl	v1.0.2	5
tweetnacl	v1.0.1	5
tweetnacl	v1.0.0	5
tweetnacl	1.0.0-rc.1	5
promisepolyfill	8.2.0	121
promisepolyfill	8.1.3	121
promisepolyfill	8.1.2	121
promisepolyfill	8.1.1	121
promisepolyfill	8.1.0	121
through2	v4.0.2	182
